id,name,score1,score2
1,Student_1,52,90
2,Student_2,87,64
3,Student_3,72,89
4,Student_4,79,53
5,Student_5,56,57
6,Student_6,84,69
7,Student_7,89,76
8,Student_8,88,84
9,Student_9,62,56
10,Student_10,56,84
11,Student_11,50,63
12,Student_12,73,76
13,Student_13,60,63
14,Student_14,77,79
15,Student_15,92,75
16,Student_16,83,54
17,Student_17,56,56
18,Student_18,66,59
19,Student_19,96,68
20,Student_20,98,59
21,Student_21,73,80
22,Student_22,66,56
23,Student_23,60,60
24,Student_24,100,66
25,Student_25,84,56
26,Student_26,52,89
27,Student_27,87,99
28,Student_28,59,94
29,Student_29,76,88
30,Student_30,92,83
31,Student_31,50,51
32,Student_32,80,50
33,Student_33,92,96
34,Student_34,94,66
35,Student_35,63,67
36,Student_36,55,100
37,Student_37,90,98
38,Student_38,71,69
39,Student_39,67,84
40,Student_40,87,87
41,Student_41,98,77
42,Student_42,51,63
43,Student_43,86,59
44,Student_44,74,69
45,Student_45,77,72
46,Student_46,73,63
47,Student_47,87,80
48,Student_48,93,80
49,Student_49,98,89
50,Student_50,75,68
51,Student_51,50,52
52,Student_52,85,79
53,Student_53,82,56
54,Student_54,86,56
55,Student_55,91,83
56,Student_56,60,69
57,Student_57,86,50
58,Student_58,65,82
59,Student_59,80,85
60,Student_60,63,97
61,Student_61,60,65
62,Student_62,99,66
63,Student_63,71,64
64,Student_64,91,63
65,Student_65,63,87
66,Student_66,58,52
67,Student_67,83,75
68,Student_68,53,93
69,Student_69,86,75
70,Student_70,76,97
71,Student_71,76,98
72,Student_72,52,98
73,Student_73,90,82
74,Student_74,88,97
75,Student_75,96,91
76,Student_76,59,63
77,Student_77,89,52
78,Student_78,55,80
79,Student_79,77,92
80,Student_80,100,96
81,Student_81,61,67
82,Student_82,98,58
83,Student_83,83,56
84,Student_84,69,94
85,Student_85,51,61
86,Student_86,68,92
87,Student_87,80,52
88,Student_88,86,81
89,Student_89,71,73
90,Student_90,54,52
91,Student_91,85,78
92,Student_92,84,95
93,Student_93,62,64
94,Student_94,57,68
95,Student_95,67,57
96,Student_96,94,65
97,Student_97,61,51
98,Student_98,68,91
99,Student_99,50,88
100,Student_100,80,95
101,Student_101,80,84
102,Student_102,65,77
103,Student_103,79,55
104,Student_104,80,95
105,Student_105,65,88
106,Student_106,66,58
107,Student_107,84,79
108,Student_108,90,63
109,Student_109,78,82
110,Student_110,97,82
111,Student_111,80,60
112,Student_112,66,89
113,Student_113,98,53
114,Student_114,91,95
115,Student_115,59,77
116,Student_116,84,64
117,Student_117,93,53
118,Student_118,68,100
119,Student_119,78,87
120,Student_120,79,56
121,Student_121,63,60
122,Student_122,90,84
123,Student_123,78,66
124,Student_124,77,68
125,Student_125,52,85
126,Student_126,80,64
127,Student_127,86,57
128,Student_128,65,65
129,Student_129,69,75
130,Student_130,50,90
131,Student_131,76,59
132,Student_132,54,68
133,Student_133,72,62
134,Student_134,58,67
135,Student_135,72,90
136,Student_136,70,68
137,Student_137,60,89
138,Student_138,60,67
139,Student_139,51,83
140,Student_140,77,50
141,Student_141,90,54
142,Student_142,62,86
143,Student_143,50,52
144,Student_144,71,82
145,Student_145,79,78
146,Student_146,85,51
147,Student_147,86,93
148,Student_148,60,97
149,Student_149,78,59
150,Student_150,66,73
151,Student_151,54,97
152,Student_152,92,82
153,Student_153,80,82
154,Student_154,66,97
155,Student_155,57,94
156,Student_156,63,82
157,Student_157,79,82
158,Student_158,96,83
159,Student_159,99,71
160,Student_160,82,58
161,Student_161,84,80
162,Student_162,95,60
163,Student_163,66,60
164,Student_164,86,76
165,Student_165,100,94
166,Student_166,97,74
167,Student_167,78,59
168,Student_168,67,71
169,Student_169,61,99
170,Student_170,89,83
171,Student_171,69,88
172,Student_172,88,94
173,Student_173,63,69
174,Student_174,79,50
175,Student_175,94,70
176,Student_176,85,99
177,Student_177,95,72
178,Student_178,99,90
179,Student_179,80,58
180,Student_180,62,76
181,Student_181,81,71
182,Student_182,93,70
183,Student_183,71,78
184,Student_184,96,99
185,Student_185,64,71
186,Student_186,82,67
187,Student_187,87,73
188,Student_188,52,56
189,Student_189,53,99
190,Student_190,71,51
191,Student_191,93,62
192,Student_192,63,96
193,Student_193,80,65
194,Student_194,69,98
195,Student_195,54,54
196,Student_196,69,78
197,Student_197,76,83
198,Student_198,91,71
199,Student_199,99,69
200,Student_200,75,84
201,Student_201,74,80
202,Student_202,61,59
203,Student_203,86,74
204,Student_204,68,53
205,Student_205,93,85
206,Student_206,83,82
207,Student_207,72,75
208,Student_208,76,90
209,Student_209,70,75
210,Student_210,98,56
211,Student_211,53,90
212,Student_212,69,87
213,Student_213,89,75
214,Student_214,91,67
215,Student_215,78,54
216,Student_216,74,89
217,Student_217,71,90
218,Student_218,81,58
219,Student_219,50,81
220,Student_220,64,91
221,Student_221,51,86
222,Student_222,64,91
223,Student_223,95,68
224,Student_224,85,68
225,Student_225,91,92
226,Student_226,77,78
227,Student_227,68,66
228,Student_228,92,81
229,Student_229,65,60
230,Student_230,76,73
231,Student_231,98,97
232,Student_232,65,55
233,Student_233,78,65
234,Student_234,89,69
235,Student_235,62,92
236,Student_236,65,78
237,Student_237,87,95
238,Student_238,62,75
239,Student_239,73,75
240,Student_240,69,80
241,Student_241,53,65
242,Student_242,50,97
243,Student_243,99,74
244,Student_244,72,93
245,Student_245,55,68
246,Student_246,76,70
247,Student_247,68,86
248,Student_248,68,91
249,Student_249,74,86
250,Student_250,55,99
251,Student_251,78,82
252,Student_252,85,93
253,Student_253,53,84
254,Student_254,94,58
255,Student_255,94,80
256,Student_256,84,53
257,Student_257,89,55
258,Student_258,96,90
259,Student_259,64,90
260,Student_260,59,68
261,Student_261,70,80
262,Student_262,90,81
263,Student_263,51,78
264,Student_264,75,51
265,Student_265,80,96
266,Student_266,61,98
267,Student_267,89,72
268,Student_268,93,51
269,Student_269,94,93
270,Student_270,66,100
271,Student_271,56,61
272,Student_272,68,79
273,Student_273,86,89
274,Student_274,51,70
275,Student_275,93,56
276,Student_276,76,77
277,Student_277,51,82
278,Student_278,83,91
279,Student_279,53,66
280,Student_280,59,62
281,Student_281,52,81
282,Student_282,90,82
283,Student_283,73,79
284,Student_284,91,84
285,Student_285,68,96
286,Student_286,72,85
287,Student_287,84,52
288,Student_288,84,62
289,Student_289,90,97
290,Student_290,99,99
291,Student_291,62,89
292,Student_292,78,51
293,Student_293,95,85
294,Student_294,75,72
295,Student_295,100,80
296,Student_296,96,80
297,Student_297,99,70
298,Student_298,67,63
299,Student_299,54,67
300,Student_300,98,68
301,Student_301,77,55
302,Student_302,78,97
303,Student_303,52,62
304,Student_304,97,73
305,Student_305,52,97
306,Student_306,64,63
307,Student_307,59,90
308,Student_308,57,99
309,Student_309,96,83
